,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
28,kavya13,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,317,TOEFL,106,8.81 CGPA ,32 months
29,Samra ,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,316,TOEFL,112,8.48 CGPA ,21 months
30,Raghav06,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,317,TOEFL,104,8.3 CGPA ,23 months
31,GreAsp2017,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,323,TOEFL,112,66.21%,27 months
32,MatMat,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,315,TOEFL,105,9.56 CGPA ,19 months
33,mani666,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,314,TOEFL,109,8.6 CGPA ,24 months
34,Subhayu,Carnegie Mellon University,Information Systems,Fall 2019 ,Admit,N.A. ,ENG TEST,NA ,6.93 CGPA ,36 months
35,Adyasha1094,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,318,TOEFL,118,8.43 CGPA ,30 months
36,Anju1234,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,319,TOEFL,113,73.40%,26 months
37,spri,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,326,TOEFL,111,8.48 CGPA ,24 months
38,Hari2095,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,329,TOEFL,105,9.21 CGPA ,13 months
39,PriyanshiJ,Carnegie Mellon University,Information Systems,Fall 2017 ,Admit,320,TOEFL,105,8.1 CGPA ,24 months
40,vishal403,Carnegie Mellon University,Information Systems,Fall 2015 ,Admit,318,TOEFL,104,9.24 CGPA ,16 months
41,loveenvarghese,Carnegie Mellon University,Information Systems,Fall 2011 ,Admit,324,TOEFL,113,65.50%,NA
43,vishd29,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,329,TOEFL,113,7.65 CGPA ,40 months
44,NinadB,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,309,TOEFL,101,7.61 CGPA ,9 months
45,Achiever1989,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,314,TOEFL,110,72%,60 months
46,theharishkm,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,N.A. ,TOEFL,104,8.15 CGPA ,33 months
47,shruti1735,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,320,TOEFL,0,7.54 CGPA ,7 months
48,jd1993,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,322,TOEFL,106,7.29 CGPA ,26 months
49,ManishaSharma2194,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,315,TOEFL,101,8.45 CGPA ,24 months
50,Poseidon,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,321,TOEFL,109,60%,29 months
51,Deva99,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,319,TOEFL,110,8.98 CGPA ,6 months
52,manyam123,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,307,TOEFL,100,8.91 CGPA ,24 months
53,bhavul,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,325,TOEFL,114,7.72 CGPA ,25 months
54,AdityaSathe,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,321,TOEFL,0,9.45 CGPA ,11 months
55,sanketwalavalka,Carnegie Mellon University,Information Systems,Fall 2011 ,Reject,N.A. ,TOEFL,101,68%,NA
56,hunkydk,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,320,TOEFL,104,6.56 CGPA ,19 months
57,patvik,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,311,TOEFL,104,60.43%,NA
58,yplfc,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,317,TOEFL,110,6.79 CGPA ,1 month
59,PrachiC,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,316,TOEFL,108,71%,13 months
60,Harshil Dhruve,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,308,TOEFL,95,71.43%,25 months
61,akshayadiga,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,313,TOEFL,98,9.2 CGPA ,13 months
62,adi666452,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,332,TOEFL,112,9.45 CGPA ,4 months
64,Aditikwl,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,314,TOEFL,105,79%,6 months
65,vivekku9944,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
66,aviralpushkarna,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,318,ENG TEST,NA ,7.71 CGPA ,NA
67,kinjal94,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,9.45 CGPA ,24 months
68,chandu939,Carnegie Mellon University,Information Systems,Spring 2019 ,Interested,314,IELTS,7.5,75.82%,36 months
69,Achus,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,320,IELTS,7,7.2 CGPA ,36 months
70,palandepranav,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,332,TOEFL,110,8.76 CGPA ,8 months
71,Tanya235,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,325,TOEFL,115,6.98 CGPA ,25 months
72,saisruthi95,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,319,TOEFL,109,7.97 CGPA ,24 months
73,yl1990,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,97%,60 months
74,snehGajiwala,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,319,TOEFL,104,9.39 CGPA ,2 months
75,addy1996,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7 CGPA ,NA
76,nino123456,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,80%,NA
77,Yasmin,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,317,ENG TEST,NA ,74%,12 months
78,DevRajBisi,Carnegie Mellon University,Information Systems,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,7.8 CGPA ,42 months
79,Kokil57,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,322,TOEFL,110,5.66 CGPA ,6 months
80,Maqutadir,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,321,TOEFL,110,66%,46 months
81,vvr113,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,322,TOEFL,113,8.79 CGPA ,6 months
82,SagarBillore,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,309,TOEFL,98,65%,NA
83,Karanrane,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,77%,15 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Shubhi20,University of Delaware,Management Information System,Fall 2018 ,Applied,309,IELTS,7.5,9.24 CGPA ,40 months
2,vinay0028,University of Delaware,Management Information System,Fall 2016 ,Applied,305,IELTS,7,51%,54 months
3,kanchi ,University of Delaware,Management Information System,Fall 2016 ,Applied,306,TOEFL,94,6.6 CGPA ,NA
4,malagb01,University of Delaware,Management Information System,Fall 2016 ,Applied,311,IELTS,7.5,69%,48 months
5,ayushivarma,University of Delaware,Management Information System,Fall 2016 ,Applied,300,TOEFL,99,7.46 CGPA ,NA
6,shikha28,University of Delaware,Management Information System,Fall 2016 ,Applied,304,TOEFL,90,6 CGPA ,30 months
7,exiee,University of Delaware,Management Information System,Fall 2016 ,Applied,304,TOEFL,90,6 CGPA ,30 months
8,ganeshn,University of Delaware,Management Information System,Fall 2017 ,Applied,296,IELTS,6,70.80%,30 months
9,koushika92,University of Delaware,Management Information System,Fall 2016 ,Applied,308,ENG TEST,NA ,8 CGPA ,30 months
10,muralidhar_mutnuru,University of Delaware,Management Information System,Fall 2016 ,Applied,308,TOEFL,112,8 CGPA ,30 months
11,ankitbhangdia,University of Delaware,Management Information System,Fall 2015 ,Applied,300,TOEFL,0,54.13%,30 months
13,rohan1234,University of Delaware,Management Information System,Fall 2018 ,Admit,295,IELTS,7.5,7.51 CGPA ,32 months
14,Shreya0110,University of Delaware,Management Information System,Spring 2018 ,Admit,303,TOEFL,93,64.10%,2 months
15,Ayush3195,University of Delaware,Management Information System,Fall 2017 ,Admit,310,IELTS,7.5,6.47 CGPA ,NA
16,Divyaa,University of Delaware,Management Information System,Fall 2017 ,Admit,313,TOEFL,108,6.47 CGPA ,12 months
17,apurv1595,University of Delaware,Management Information System,Fall 2017  ,Admit,303,TOEFL,108,7.696 CGPA ,2 months
18,sanhith,University of Delaware,Management Information System,Spring 2017 ,Admit,300,IELTS,6.5,7.4 CGPA ,16 months
19,abhishekthelord,University of Delaware,Management Information System,Fall 2016 ,Admit,N.A. ,ENG TEST,NA ,72%,21 months
21,Adi8081234,University of Delaware,Management Information System,Fall 2017 ,Reject,306,TOEFL,92,6.75 CGPA ,1 month
22,navhar,University of Delaware,Management Information System,Spring 2017 ,Reject,305,TOEFL,93,7.2 CGPA ,25 months
23,vatsalajmera,University of Delaware,Management Information System,Fall 2016 ,Reject,312,TOEFL,101,75%,NA
24,jituparwani,University of Delaware,Management Information System,Fall 2016 ,Reject,283,TOEFL,98,68%,NA
26,kewalc,University of Delaware,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
27,Arpi99,University of Delaware,Management Information System,Spring 2019 ,Interested,281,IELTS,6.5,74%,60 months
28,WrittikaRoy,University of Delaware,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,75%,NA
29,srushti17,University of Delaware,Management Information System,Spring 2019 ,Interested,301,ENG TEST,NA ,7.6 CGPA ,19 months
30,Sibasis,University of Delaware,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6 CGPA ,NA
31,SatyaV,University of Delaware,Management Information System,Spring 2019 ,Interested,N.A. ,IELTS,7,6.5 CGPA ,22 months
32,Ram1199,University of Delaware,Management Information System,Spring 2019 ,Interested,305,IELTS,7,62%,8 months
33,Sudhakar17,University of Delaware,Management Information System,Spring 2019 ,Interested,331,IELTS,7,65%,15 months
34,AbhaAshapure,University of Delaware,Management Information System,Fall 2018 ,Interested,300,TOEFL,83,68.19%,12 months
35,rohinik,University of Delaware,Management Information System,Fall 2019 ,Interested,296,TOEFL,100,8.05 CGPA ,48 months
36,Ankit712arf,University of Delaware,Management Information System,Spring 2019 ,Interested,302,TOEFL,99,67.91%,53 months
37,skondepudi,University of Delaware,Management Information System,Fall 2018 ,Interested,297,IELTS,7,6.87 CGPA ,32 months
38,sam1191,University of Delaware,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,65%,NA
39,Jagrutp,University of Delaware,Management Information System,Spring 2018 ,Interested,N.A. ,IELTS,6.5,60%,38 months
40,vismita,University of Delaware,Management Information System,Fall 2018 ,Interested,302,TOEFL,98,65%,29 months
41,vivek s,University of Delaware,Management Information System,Fall 2018 ,Interested,304,TOEFL,99,76%,38 months
42,radhi23,University of Delaware,Management Information System,Spring 2018 ,Interested,N.A. ,ENG TEST,NA ,78.30%,NA
43,Aarushi7,University of Delaware,Management Information System,Fall 2018 ,Interested,309,IELTS,7,71.40%,36 months
44,nehru,University of Delaware,Management Information System,Spring 2019 ,Interested,282,ENG TEST,NA ,54%,NA
45,A18,University of Delaware,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,9 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,prateik,Drexel University,Information Systems,Fall 2018 ,Applied,301,IELTS,6,6.5 CGPA ,10 months
2,Sohini014,Drexel University,Information Systems, Fall 2018 ,Applied,313,TOEFL,100,65%,12 months
3,gauthammr,Drexel University,Information Systems,Fall 2018 ,Applied,305,TOEFL,84,65.90%,8 months
4,abhishek1403,Drexel University,Information Systems,Fall 2016 ,Applied,292,TOEFL,85,7.62 CGPA ,36 months
6,yfiiiiyfi,Drexel Universit,y Information Systems,Fall 2018 ,Admit,N.A. ,ENG TEST,NA ,54%,NA
7,Thiagu,Drexel University,Information Systems,Fall 2018 ,Admit,N.A. ,TOEFL,103,6.1 CGPA ,2 months
8,ramkrish94,Drexel University,Information Systems,Admit,GRE,ENG TEST,NA ,UNDERGRAD,NA,
9,ArunCR7,Drexel University,Information Systems,Fall 2018 ,Admit,309,TOEFL,97,6.88 CGPA ,NA
10,Rushikesh420,Drexel University,Information Systems,Fall 2018 ,Admit,298,TOEFL,0,57.43%,6 months
11,Rashi77,Drexel University,Information Systems,Fall 2018 ,Admit,300,TOEFL,104,7.8 CGPA ,20 months
12,saylibhutkar,Drexel University,Information Systems,Fall 2018 ,Admit,302,IELTS,6.5,7.75 CGPA ,NA
13,Kanksha ,Drexel University,Information Systems,Fall 2018 ,Admit,305,TOEFL,96,8.4 CGPA ,4 months
14,Yashbar,Drexel University,Information Systems,Fall 2018 ,Admit,309,TOEFL,102, 8 CGPA ,NA
15,PrachiG,Drexel University,Information Systems,Fall 2018 ,Admit,309,TOEFL,93,7.445 CGPA ,4 months
16,Alloy,Drexel University,Information Systems,Fall 2018 ,Admit,302,IELTS,7,8.22 CGPA ,8 months
17,Aamyyy,Drexel University,Information Systems,Fall 2016 ,Admit,N.A. ,IELTS,7,60%,39 months
18,sartarora,Drexel University,Information Systems,Spring 2018 ,Admit,308,TOEFL,100,6.79 CGPA ,27 months
19,TanmaySandav,Drexel University,Information Systems,Fall 2017 ,Admit,302,TOEFL,86,65%,28 months
20,niveda,Drexel University,Information Systems,Fall 2017 ,Admit,310,ENG TEST,NA ,80.20%,NA
21,asax19,Drexel University,Information Systems,Spring 2017 ,Admit,314,TOEFL,114,6.81 CGPA ,6 months
22,asw,Drexel University,Information Systems,Spring 2017 ,Admit,314,TOEFL,107,8.25 CGPA ,6 months
23,kanna,Drexel University,Information Systems,Fall 2016 ,Admit,307,TOEFL,101,8.42 CGPA ,41 months
24,abhishekthelord,Drexel University,Information Systems,Fall 2016 ,Admit,N.A. ,ENG TEST,NA ,72%,21 months
25,akhifall16,Drexel University,Information Systems,Fall 2016 ,Admit,305,IELTS,7.5,8 CGPA ,6 months
27,Sirish07,Drexel University,Information Systems,Fall 2018 ,Reject,306,TOEFL,92,6.33 CGPA ,-1 months
28,dio,Drexel University,Information Systems,Fall 2018 ,Reject,309,TOEFL,94,6.45 CGPA ,13 months
29,Yaassh,Drexel University,Information Systems,Fall 2017 ,Reject,318,TOEFL,113,5.97 CGPA ,20 months
30,Amit50,Drexel University,Information Systems,Fall 2017 ,Reject,302,TOEFL,96,78%,74 months
31,pratt23,Drexel University,Information Systems,Fall 2016 ,Reject,297,TOEFL,86,62.20%,32 months
32,akashjain,Drexel University,Information Systems,Fall 2016 ,Reject,318,TOEFL,110,8.2 CGPA ,20 months
34,kratikasainferno,Drexel University,Information Systems,Spring 2019 ,Interested,306,TOEFL,102,65%,26 months
35,sisirchinferno,Drexel University,Information Systems,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38 months
36,abhipato,Drexel University,Information Systems,Fall 2018 ,Interested,296,TOEFL,86,67%,30 months
37,hitesharsenalpatel,Drexel University,Information Systems,Fall 2018 ,Interested,311,IELTS,7,58.71%,30 months
38,Ram1199,Drexel University,Information Systems,Spring 2019 ,Interested,305,IELTS,7,62%,8 months
39,HEMASAHU,Drexel University,Information Systems,Fall 2018 ,Interested,298,TOEFL,86,70%,7 months
40,techgeek3007,Drexel University,Information Systems,Fall 2018 ,Interested,295,ENG TEST,NA ,9.3 CGPA ,12 months
41,sriganesh,Drexel University,Information Systems,Fall 2018 ,Interested,302,ENG TEST,NA ,6.9 CGPA ,40 months
42,Harsh-C,Drexel University,Information Systems,Fall 2018 ,Interested,303,TOEFL,90,58.80%,NA
43,roshel.tauro,Drexel University,Information Systems,Fall 2018 ,Interested,N.A. ,TOEFL,0,65%,NA
44,Ankurchintu,Drexel University,Information Systems,Fall 2019 ,Interested,315,IELTS,7.5,60%,30 months
45,alti,Drexel University,Information Systems,Fall 2018 ,Interested,310,TOEFL,96,62%,57 months
46,sidpatell,Drexel University,Information Systems,Fall 2018 ,Interested,N.A. ,IELTS,7.5,52.62%,-1 months
47,AnushreeKashayp,Drexel University,Information Systems,Fall 2018 ,Interested,311,TOEFL,108,73%,27 months
48,Sush11,Drexel University,Information Systems,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,76%,5 months
49,wjames684,Drexel University,Information Systems,Fall 2018 ,Interested,314,ENG TEST,NA ,7.25 CGPA ,24 months
50,PT,Drexel University,Information Systems,Fall 2017 ,Interested,309,TOEFL,105,7.5 CGPA ,NA
51,sid026,Drexel University,Information Systems,Fall 2019 ,Interested,309,ENG TEST,NA ,7.3 CGPA ,6 months
52,Dhruv3010,Drexel University,Information Systems,Fall 2017 ,Interested,N.A. ,ENG TEST,NA ,6.9 CGPA ,16 months
53,Sagarika ,Drexel University,Information Systems,Fall 2017 ,Interested,318,TOEFL,115,7.43 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,manusharma25,University of Arizona,Management Information System,Fall 2018 ,Applied,312,TOEFL,100,67%,60 months
2,PRIYA1963,University of Arizona,Management Information System,Fall 2018 ,Applied,N.A. ,ENG TEST,NA ,90%,1 month
3,sayalisurya6723,University of Arizona,Management Information System,Fall 2018 ,Applied,312,TOEFL,102,65%,20 months
4,Aakash6993,University of Arizona,Management Information System,Fall 2018 ,Applied,318,TOEFL,102,67%,32 months
5,shreyadumbre,University of Arizona,Management Information System,Fall 2018 ,Applied,311,TOEFL,106,68%,19 months
6,Tanya13,University of Arizona,Management Information System,Fall 2018 ,Applied,315,TOEFL,112,8.24 CGPA ,1 month
7,adipareshshah,University of Arizona,Management Information System,Fall 2018 ,Applied,N.A. ,TOEFL,113,73.89%,60 months
8,chaitali922,University of Arizona,Management Information System,Fall 2018 ,Applied,308,TOEFL,101,7.79 CGPA ,16 months
9,Radhika26,University of Arizona,Management Information System,Fall 2018 ,Applied,308,TOEFL,93,7.8 CGPA ,26 months
10,Anand31,University of Arizona,Management Information System,Fall 2018 ,Applied,314,TOEFL,0,63.28%,40 months
11,abhijay22,University of Arizona,Management Information System,Fall 2018 ,Applied,319,TOEFL,101,6.57 CGPA ,15 months
12,Kokil57,University of Arizona,Management Information System,Fall 2018 ,Applied,322,TOEFL,110,5.66 CGPA ,6 months
