,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
29,mohata,Boston University,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,7.89 CGPA ,17 months
30,nidhisuresh,Boston University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,77%,11 months
31,Shreya0822,Boston University,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,72.40%,67 months
32,PrachiYewale,Boston University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.5 CGPA ,NA
33,annahita77,Boston University,Management Information System,Spring 2019 ,Interested,287,TOEFL,87,8.8 CGPA ,18 months
34,AsthaSh,Boston University,Management Information System,Fall 2018 ,Interested,310,TOEFL,110,7.49 CGPA ,NA
35,Sunikesh,Boston University,Management Information System,Spring 2020 ,Interested,N.A. ,ENG TEST,NA ,6.1 CGPA ,NA
36,Pareen,Boston University,Management Information System,Fall 2018 ,Interested,296,TOEFL,100,67%,41 months
37,sudhir rai,Boston University,Management Information System,Fall 2018 ,Interested,306,IELTS,7,71.98%,48 months
38,Jawaan,Boston University,Management Information System,Fall 2018 ,Interested,297,TOEFL,84,78%,44 months
39,shreyasupadhye02,Boston University,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,6.34 CGPA ,NA
40,sandy2402nd,Boston University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.97 CGPA ,9 months
41,Divij Kishore,Boston University,Management Information System,Spring 2019 ,Interested,290,TOEFL,91,7.3 CGPA ,48 months
,Name,University,,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Harshwaghela,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,312,TOEFL,110,9.09 CGPA ,16 months
2,darshit1997,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Applied,N.A. ,ENG TEST,NA ,6.1 CGPA ,NA
3,Triplek,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,311,TOEFL,102,74%,85 months
4,AnushkaKatyayan,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,320,TOEFL,104,65%,60 months
5,muktika,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,307,TOEFL,103,8 CGPA ,34 months
6,Shruti085,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,324,TOEFL,113,78.04%,5 months
